,Rm,Rf,Rm - Rf,s/h,s/n,s/l,b/h,b/n,b/l,SMB,HML,s/lo,s/wi,b/lo,b/wi,MOM,s/w,s/m,s/r,b/w,b/m,b/r,RMW,SMBop,s/c,s/n,s/a,b/c,b/n,b/a,CMA,SMBinv,SMBff5
2018-05-01,0.0216083418545836,0.01746,0.004148341854583602,0.03488570056107717,0.0522637428993611,0.13100027646779708,0.029047632973146966,0.04189851193000773,0.04761310240144065,0.03319682420788001,-0.0573400226675068,0.02281494624863661,0.14771438376309426,0.04761310240144065,0.029047632973146966,0.05316698404308198,0.11427797614394268,0.07114770464332439,0.02546097693175161,0.055648528095687586,0.026317553970463148,0.042585841376730986,-0.050939842965573835,0.028778244758712317,0.07383719220261419,0.07105734394483487,0.0660268756863733,0.034449244986686126,0.045858933769987835,0.036727829378698264,0.002765866062114375,0.031295134566150046,0.03109006784424746
2018-06-01,0.00484243626760783,0.01756,-0.012717563732392169,-0.004299524737707894,0.020961131532021907,0.030099155888570425,0.025090044490668463,-0.008792866280323934,0.05004198728620276,-0.006526134271220946,-0.029675311710906305,-0.006847322775996893,0.033364489900283026,0.05004198728620276,0.025090044490668463,0.007629934940372812,0.030651722086418063,-0.004587648268127218,0.030523142633881714,0.05396020453344494,-0.0015486222939099946,0.011141335569930057,-0.021473724208025614,-0.0023219004524308168,0.04791530662811986,0.00462021002087085,0.000510215845874902,0.010191705886912743,0.002505205396726446,0.04929684202942718,0.004149977319865258,-0.0029826736060669205,-0.0039435694432395614
2018-07-01,0.03602155617289915,0.01904,0.016981556172899148,-0.043138384006196545,0.030603145180827827,0.05849334846908162,0.03794984990621202,0.040673701531365326,0.01352699302855556,-0.015397478274140003,-0.038604437798810856,0.0008544400302559122,-0.01048122581922711,0.01352699302855556,0.03794984990621202,0.00654359551408672,0.022680848837905315,0.038004961526660185,-0.01757455316155734,0.011216865522747614,0.03232425030979427,0.051820756026502976,0.0001742442521463529,-0.017416871552012235,-0.04361459361505637,0.0507548668687582,0.031067174202345546,0.045666995101444494,0.021001553744593948,0.03304820630731423,-0.03103148951163583,-0.020503102565768434,-0.017772484130640222
2018-08-01,0.030263211276748248,0.01934,0.010923211276748248,0.36971220358663986,0.06921496020080287,0.15480801357699073,0.013075401099726021,0.03343376481965795,0.03473743548102691,0.17082952532134088,0.09662107781417414,0.0250776644006011,0.5242385851228851,0.03473743548102691,0.013075401099726021,0.23874944317049157,0.11045382768462823,0.06356866473471287,0.42188433704743467,0.025633924867560085,0.03565012783947197,0.01911010137806574,0.15245334293665602,0.17183755846055931,0.38231315428040713,0.10804396422309476,0.0884438265446654,0.018299449695765573,0.018345644665278382,0.05040463017566676,0.13088207362792026,0.16391707350381884,0.16886138576190635
2018-09-01,0.0042942874264617625,0.02112,-0.016825712573538237,-0.024416596060884286,-0.027452297426695773,0.015673608665629637,-0.00589536065323169,-0.011015962670363514,0.02535144716809775,-0.014878469555484322,-0.03566850627392168,-0.020090979949015764,-0.003232911884130808,0.02535144716809775,-0.00589536065323169,-0.007194369878222242,-0.03201382274801867,0.004660131377149244,-0.021192527606405998,-0.007114695288456643,-0.0008702100243400186,0.012522816601136326,0.015229403515602823,-0.017694710088538367,-0.03277334040809444,-0.004168033303708364,-0.008209397311296619,0.020761923123809065,-0.0008384220925382416,-0.015397815870547227,0.005797897948779237,-0.016558818727941002,-0.016377332790654564
2018-10-01,-0.0694033560936963,0.02206,-0.0914633560936963,-0.050949940080489475,-0.08969016340339629,-0.16764471168295708,-0.038471923286606174,-0.09626398158625431,-0.10618671098152535,-0.02245406643748568,0.0922047796486934,-0.1301187294883227,-0.10143694839164673,-0.10618671098152535,-0.038471923286606174,0.04819828439579758,-0.12268174507960027,-0.12586234449180284,-0.0458283482537449,-0.08309227870075722,-0.08696208925386155,-0.07444589879684123,0.04274988836488568,-0.01662405702456267,-0.039500940870456816,-0.13613327649710477,-0.11478786199400874,-0.043253409245161696,-0.07270924890596382,-0.13401947027260283,0.08302649107549652,-0.013479983645947324,-0.017519369035998558
2018-11-01,0.01785935665477978,0.02307,-0.005210643345220221,0.0546959620178569,0.02803891286902956,0.08273307863351696,0.013242091325865128,0.014487772333467739,0.03482160316497708,0.0343054955653645,-0.02480831422738601,0.03329704795896697,0.07997578827528165,0.03482160316497708,0.013242091325865128,0.012549614238601361,0.04271812810016755,0.06218914475703241,0.04742597609089467,0.020239105463532206,0.00427055692620872,0.041971502668130184,0.013220122597662545,0.028617361296741178,0.0670538436775243,0.05830914713873314,0.0284625649081061,0.04860961905305965,0.009973734121246296,0.005704282193166099,0.040748307814655875,0.029845973452297173,0.030922943438134284
2018-12-01,-0.09177689467997252,0.02433,-0.11610689467997252,-0.06525134012479504,-0.07170803202634851,-0.08029497606616792,-0.09155766872378861,-0.0859331918529434,-0.08022120432864388,0.013485905562688139,0.0018535857731140776,-0.06820760823723651,-0.07799967497737569,-0.08022120432864388,-0.09155766872378861,-0.01056426556764195,-0.04383282675079557,-0.09711528242975707,-0.06653421965083245,-0.06933136219529025,-0.09741017428835241,-0.08655630440811435,-0.01996316755643049,0.015271837353457302,-0.06804116648776773,-0.07028728976634491,-0.07947233129396944,-0.10174116167051596,-0.07245213222589274,-0.08870379394244815,-0.0008031014609330561,0.015032100096924919,0.01459661433769012
2019-01-01,0.07868440166582613,0.02393,0.05475440166582613,0.10439900130664692,0.1262215607283371,0.19824427322674806,0.087821779377442,0.09580291606827024,0.09241310530363218,0.050942344837462544,-0.049218298923145665,0.12420671720429449,0.18290584603742027,0.09241310530363218,0.087821779377442,0.02705390145346781,0.1278891630141306,0.15354462759646242,0.13692217277878307,0.10496516783804394,0.09603070139061161,0.07495432178132683,-0.010488918146032325,0.047468590793131246,0.14113289327384473,0.14942568660918137,0.12938159157838117,0.08179587682448851,0.08925875662241171,0.1075001517046975,-0.00697648659237271,0.04712846210326986,0.04851313257795455
2019-02-01,0.029728889343927145,0.02411,0.005618889343927146,0.04416524726132336,0.09805039250786626,0.06728767795786676,0.02445640126072461,0.03627067863488633,0.045459028279930716,0.034439069850504905,-0.022062528857874755,0.05876986636590186,0.09661641059014206,0.045459028279930716,0.02445640126072461,0.00842195860251705,0.06882430177910917,0.06977097955083657,0.0817847336882759,0.013507881956872718,0.05482674072463828,0.030714538536433758,0.015083544244363888,0.04044361793342564,0.055078981862106614,0.07931049619654443,0.08232149209583682,0.03036117482197257,0.04633870727352112,0.025613907372880735,-0.011247621392319183,0.0381323935620378,0.037671693781989445
2019-03-01,0.01792425624958849,0.02425,-0.0063257437504115124,0.0056031988833418886,0.018783588190439855,0.021118739390341153,0.014389395729465916,0.02730153010071202,0.0301654908366298,-0.008783630067561613,-0.015645817807081575,-0.007022116025756513,0.04623024664101942,0.0301654908366298,0.014389395729465916,0.018738133779806026,-0.020794908708719858,0.0191109289862808,0.04706360588046928,0.039910996626658715,0.021075098274341588,0.013265103237488366,0.0206063106000094,-0.009623857326819482,0.029598478472938797,0.01039459923207392,0.00873898297386631,-0.012873278577909354,0.041611678068416515,0.03761411411179884,-0.014813948595317854,-0.005873484307808995,-0.008093657234063365
2019-04-01,0.03931349831373798,0.02427,0.015043498313737982,0.05330328008924975,0.06259302431109082,0.03932833430549953,0.06506201520627573,0.03408162533214501,0.031526358759820745,0.00818487980253288,0.0237553011151026,0.015280488877268576,0.055255777885372205,0.031526358759820745,0.06506201520627573,0.03675547272727931,0.0357029766493806,0.056676517085477544,0.0651207246731409,0.08286946071034537,0.01436574084024265,0.04101783024453899,-0.006216941221023044,0.0064157288709573435,0.06895375802294379,0.054950896960154115,0.03425926347310246,0.016098569589803918,0.033743824437058804,0.08095752869256577,-0.015082232276460258,0.0091213319122573,0.007907313528582509
2019-05-01,-0.0657777313668354,0.02345,-0.0892277313668354,-0.10642976147756807,-0.06817774491094458,0.036000283085011124,-0.0798200682521813,-0.10528251009898473,-0.04938983135239676,0.03196172880002041,-0.08643014073118185,-0.12441332737810541,0.04400302374007348,-0.04938983135239676,-0.0798200682521813,0.06899305710919718,-0.06274327574710264,-0.07157553536422714,-0.0029815697101399554,-0.09506754593238065,-0.08344190976781232,-0.06438318489997458,0.04522303353468438,0.035197419926232605,-0.033932762965247124,-0.061179225603264116,-0.04618697293025199,-0.0567718128878297,-0.07849082115093758,-0.10953427141404443,0.032508334245609796,0.03449931465134949,0.03388615445920084
2019-06-01,0.0689301639982407,0.02251,0.0464201639982407,0.09285971975548193,0.07764896959420858,0.07234893542855958,0.07239093193191058,0.10037511788188244,0.09341074077614583,-0.00777305527056292,-0.00025451225865645577,0.08972960066671964,0.09188957511794636,0.09341074077614583,0.07239093193191058,-0.009429917196504267,0.08794965896253965,0.08375144208820637,0.06880941892212032,0.07967325380951945,0.09396781470245928,0.09500006945466134,-0.0019067121976387158,-0.009376872664591251,0.0722503316263472,0.07016197468122426,0.10332493189874954,0.08731197133840866,0.07312875129825755,0.11621543971620531,-0.029989034325099487,-0.010306308048850188,-0.009152078661334787
2019-07-01,0.013128152166957952,0.01996,-0.006831847833042047,0.03463341302020265,0.03151557579625444,0.06761699678675846,0.03640995262935483,0.01644066781184362,-0.009362379188404102,0.030092581450140404,0.006394374025601557,0.008445627298388346,0.09859773696889479,-0.009362379188404102,0.03640995262935483,0.06796222074413268,0.05541762309785973,0.05006953277817158,0.021142692426446875,0.012377638203888862,0.001406328075960349,0.03548671333290024,-0.00558292777120074,0.025786389563242917,0.05350905111094791,0.014364961468990078,0.07248836314914847,0.015915592872164666,0.01485004455819824,0.013334381996910429,-0.00819905058147316,0.03208745210060438,0.029322141037995898
2019-08-01,-0.018091627240523933,0.02093,-0.03902162724052394,-0.052454942513136066,-0.017234904528698875,-0.0051015110470240205,-0.004162888303010899,-0.005612375817863804,-0.029532738886435577,-0.011827785027182897,-0.010991790441343682,-0.05390302923307277,0.00019492103163008492,-0.029532738886435577,-0.004162888303010899,0.039733900424063766,-0.03978355930608635,-0.02638107252746992,-0.005108969332698452,-0.005816948366012346,-0.03373044968731549,0.01105403884196051,0.025772788590680377,-0.014260080651629132,-0.03127554661575113,-0.023153961422351835,-0.01808528970704332,-0.007858957201628828,-0.01027007457306351,-0.01938754863446421,-0.0008308327379362122,-0.011666072445329911,-0.012584646041380647
2019-09-01,0.017181177931020697,0.01909,-0.0019088220689793024,0.030349283670666548,0.03535096089703655,-0.03108355026847627,0.01369869969138476,0.012803039591718591,-0.019656177855251002,0.00925704429045816,0.04739385574288929,0.037387744745309065,-0.004654603488980365,-0.019656177855251002,0.01369869969138476,-0.004343735343826834,-0.0023416336614680267,0.0214186255956268,0.020898292865610266,-0.00924329420069017,0.018872347068915354,-0.0051178404700638995,0.013682690128852282,0.011821357467202587,0.022315581296418103,0.04174226110725556,-0.0318993404929926,0.0094875513097065,0.018308851783915656,-0.023068461739691758,0.04338546741940448,0.009143520185583556,0.010073973981081433
2019-10-01,0.020431770513684056,0.01537,0.0050617705136840555,0.041059302277279636,0.044346322897636244,0.046112953857295774,0.04235349672604844,0.054993932240651286,0.005666394017624221,0.009501585349295898,0.015816725564204038,0.01243566140170162,0.09866968374673366,0.005666394017624221,0.04235349672604844,0.06146056252672812,0.05336662845747805,0.014294285417817014,0.07541614111069321,0.03710613786342658,0.0474438407886444,0.021367725659947927,0.003155550224868256,0.012386450224656453,0.0002967542207362984,0.07406116784261556,0.04573187045156006,0.025864427683543363,0.05395793357763759,0.023589922747379026,-0.02158030564732971,0.005559169502117316,0.009149068358689888
2019-11-01,0.034047037714499906,0.01619,0.017857037714499906,0.04092624124576668,0.06629606071917608,0.05283718374687823,0.023699451656502224,0.03337405047015574,0.07483697670998828,0.00938300229172491,-0.031524233777298794,0.004135642636452181,0.1321019473529942,0.07483697670998828,0.023699451656502224,0.03841438983152798,0.059641709369689704,0.06547092910109925,0.03526420555567697,0.04342784585444505,0.03466973087429428,0.053314563490930555,-0.00724539308876361,0.009654901268932016,0.006381481858807518,0.03562864553967107,0.1298445179977674,0.04291935812601116,0.03301495357180742,0.0561142813305001,-0.0683289796717244,0.013268684122642434,0.010768862561099787
2019-12-01,0.02858981890573009,0.01471,0.01387981890573009,0.07105541455161965,0.029879713059984627,0.035852381038331,0.02598954124797074,0.031700134423175076,0.02439773189368027,0.018233367028369734,0.018397421433789557,0.051846932104050905,0.06585002936790509,0.02439773189368027,0.02598954124797074,0.007797453309072326,0.04455041566854255,0.039053001873666955,0.049655903102463345,0.011239728209094468,0.029670621826480406,0.041957639297210705,0.017911699261018516,0.016797110437295763,0.05069869549668707,0.0421595658336776,0.039206227021996394,0.03192894606822634,0.031500161902296715,0.018735212102333174,0.012343101220291919,0.016633389426501607,0.0172212889640557
